symbol,date,open,high,low,close,adjusted_close,volume
IBM,2025-09-18,258.86,265.23,256.8004,265.0,265.0,4988421
IBM,2025-09-19,266.05,267.87,263.64,266.4,266.4,9858112
IBM,2025-09-22,266.62,272.31,266.0,271.37,271.37,5030540
IBM,2025-09-23,272.7,273.2962,269.265,272.24,272.24,5394121
IBM,2025-09-24,272.62,273.6499,267.3,267.53,267.53,3159924
IBM,2025-09-25,272.935,284.23,271.148,281.44,281.44,11506192
IBM,2025-09-26,280.51,288.85,280.11,284.31,284.31,9063938
IBM,2025-09-29,286.0,286.0,279.66,279.8,279.8,6022125
IBM,2025-09-30,280.88,286.025,280.52,282.16,282.16,5926924
IBM,2025-10-01,280.2,286.59,280.15,286.49,286.49,4381338
IBM,2025-10-02,285.79,288.54,282.79,286.72,286.72,3814232
IBM,2025-10-03,287.5,293.32,287.3,288.37,288.37,4375082
IBM,2025-10-06,288.61,291.45,287.8,289.42,289.42,2881947
IBM,2025-10-07,295.55,301.0425,293.285,293.87,293.87,7190126
IBM,2025-10-08,294.16,294.2,286.473,289.46,289.46,5297030
IBM,2025-10-09,289.82,290.13,283.32,288.23,288.23,4912375
IBM,2025-10-10,288.97,290.385,277.5,277.82,277.82,4508506
IBM,2025-10-13,279.79,282.4399,274.64,277.22,277.22,4333836
IBM,2025-10-14,275.52,277.53,272.5469,276.15,276.15,3058149
IBM,2025-10-15,278.38,285.45,277.0,280.75,280.75,3346753
IBM,2025-10-16,281.11,282.56,275.6,275.97,275.97,2956923
IBM,2025-10-17,276.15,283.4,275.35,281.28,281.28,5309565
IBM,2025-10-20,281.25,285.5,280.96,283.65,283.65,3494336
IBM,2025-10-21,283.31,285.31,281.6,282.05,282.05,4080981
IBM,2025-10-22,281.99,289.17,281.35,287.51,287.51,10538480
IBM,2025-10-23,264.95,285.5791,263.5623,285.0,285.0,16676394
IBM,2025-10-24,283.77,310.75,282.21,307.46,307.46,16914243
IBM,2025-10-27,307.8,313.5,302.88,313.09,313.09,9868151
IBM,2025-10-28,312.6,319.35,311.41,312.57,312.57,6044770
IBM,2025-10-29,312.79,314.33,307.52,308.21,308.21,4135948
IBM,2025-10-30,306.65,313.75,305.02,310.06,310.06,4694275
IBM,2025-10-31,312.0,313.5,301.63,307.41,307.41,7697499
IBM,2025-11-03,308.0,312.1411,304.23,304.73,304.73,4957958
IBM,2025-11-04,300.0,303.17,296.0,300.85,300.85,5677330
IBM,2025-11-05,301.38,307.2,299.71,306.77,306.77,4633195
IBM,2025-11-06,306.75,315.44,301.09,312.42,312.42,6818521
IBM,2025-11-07,309.68,310.0,302.6301,306.38,306.38,5070773
IBM,2025-11-10,306.82,309.94,304.23,309.13,309.13,2975188
IBM,2025-11-11,309.0,317.91,308.43,313.72,313.72,4381913
IBM,2025-11-12,319.89,324.9,314.5324,314.98,314.98,6042686
IBM,2025-11-13,312.29,314.6,303.68,304.86,304.86,5310150
IBM,2025-11-14,300.0,307.72,297.59,305.69,305.69,3592455
IBM,2025-11-17,305.59,306.0,296.51,297.17,297.17,3909741
IBM,2025-11-18,297.0,297.0,289.92,289.95,289.95,4861928
IBM,2025-11-19,290.5,291.1099,288.07,288.53,288.53,3595912
IBM,2025-11-20,294.64,300.71,290.16,290.4,290.4,5597028
IBM,2025-11-21,293.48,300.48,291.89,297.44,297.44,5710903
IBM,2025-11-24,299.18,307.18,297.51,304.12,304.12,6050640
IBM,2025-11-25,304.125,306.0,297.06,304.48,304.48,2825322
IBM,2025-11-26,305.18,306.6,301.64,303.21,303.21,2196446
IBM,2025-11-28,304.06,309.18,303.6,308.58,308.58,1689031
IBM,2025-12-01,306.505,307.12,302.8,305.67,305.67,3166555
IBM,2025-12-02,307.0,310.4675,301.57,301.78,301.78,4261100
IBM,2025-12-03,302.88,303.97,298.905,302.62,302.62,3953390
IBM,2025-12-04,302.875,309.61,302.54,307.99,307.99,2962463
IBM,2025-12-05,308.59,311.83,307.18,307.94,307.94,2344667
IBM,2025-12-08,309.62,315.3454,307.95,309.18,309.18,3615794
IBM,2025-12-09,309.63,313.97,308.75,310.48,310.48,2914275
IBM,2025-12-10,310.23,314.69,306.6513,312.67,312.67,3411524
IBM,2025-12-11,312.0,313.44,308.4,310.74,310.74,2755749
